Calibration values (ps) from cell 0 to 1024 :

00087.979	00088.178	00088.378	00088.578	00088.778	00088.978	00089.178	00089.378	cell = 440 to 447
00089.578	00089.779	00089.979	00090.180	00090.380	00090.580	00090.781	00090.981	cell = 448 to 455
00091.182	00091.383	00091.584	00091.784	00091.985	00092.186	00092.387	00092.588	cell = 456 to 463
00092.789	00092.990	00093.191	00093.392	00093.592	00093.793	00093.994	00094.195	cell = 464 to 471
00094.395	00094.597	00094.798	00095.000	00095.201	00095.403	00095.605	00095.806	cell = 472 to 479
00096.008	00096.210	00096.412	00096.614	00096.816	00097.018	00097.220	00097.423	cell = 480 to 487
00097.625	00097.828	00098.031	00098.233	00098.435	00098.637	00098.839	00099.041	cell = 488 to 495
00099.243	00099.444	00099.646	00099.847	00100.048	00100.248	00100.448	00100.648	cell = 496 to 503
00100.848	00101.048	00101.247	00101.447	00101.646	00101.845	00102.044	00102.243	cell = 504 to 511
00102.442	00102.640	00102.839	00103.038	00103.237	00103.437	00103.636	00103.836	cell = 512 to 519
00104.035	00104.235	00104.435	00104.635	00104.834	00105.034	00105.234	00105.434	cell = 520 to 527
00105.633	00105.833	00106.033	00106.232	00106.432	00106.631	00106.830	00107.030	cell = 528 to 535
00107.229	00107.428	00107.627	00107.826	00108.025	00108.224	00108.423	00108.622	cell = 536 to 543
00108.821	00109.019	00109.217	00109.415	00109.613	00109.811	00110.008	00110.206	cell = 544 to 551
00110.404	00110.601	00110.798	00110.995	00111.192	00111.389	00111.586	00111.783	cell = 552 to 559
00111.980	00112.176	00112.373	00112.569	00112.765	00112.961	00113.158	00113.354	cell = 560 to 567
00113.551	00113.747	00113.944	00114.140	00114.337	00114.533	00114.730	00114.927	cell = 568 to 575
00115.124	00115.321	00115.518	00115.714	00115.912	00116.109	00116.306	00116.504	cell = 576 to 583
00116.702	00116.900	00117.098	00117.296	00117.494	00117.692	00117.890	00118.088	cell = 584 to 591
00118.286	00118.485	00118.685	00118.884	00119.083	00119.283	00119.483	00119.682	cell = 592 to 599
00119.882	00120.082	00120.282	00120.483	00120.683	00120.883	00121.083	00121.283	cell = 600 to 607
00121.483	00121.683	00121.883	00122.083	00122.284	00122.484	00122.684	00122.884	cell = 608 to 615
00123.083	00123.283	00123.483	00123.682	00123.881	00124.081	00124.280	00124.479	cell = 616 to 623
00124.678	00124.877	00125.076	00125.275	00125.474	00125.672	00125.871	00126.070	cell = 624 to 631
00126.268	00126.467	00126.666	00126.865	00127.063	00127.262	00127.461	00127.659	cell = 632 to 639
00127.857	00128.056	00128.254	00128.453	00128.652	00128.850	00129.049	00129.248	cell = 640 to 647
00129.447	00129.647	00129.846	00130.046	00130.245	00130.445	00130.645	00130.845	cell = 648 to 655
00131.045	00131.245	00131.445	00131.645	00131.846	00132.047	00132.247	00132.448	cell = 656 to 663
